,USDC price,USDT price,Average USD price
0,,,
1,347.9879748173069,348.1889166719835,348.08844574464524
2,347.4643487211601,347.1637824120226,347.31406556659135
3,347.6443141854397,346.07662654373325,346.8604703645865
4,345.8357833605104,346.08739830204473,345.9615908312776
5,348.4464602684073,348.1657479630208,348.30610411571405
6,345.9219021815983,348.225403618271,347.07365289993464
7,346.22676253936936,346.0707458921577,346.1487542157635
8,347.32529384615384,345.8049883822019,346.5651411141779
9,347.6755809929864,344.597375,346.1364779964932
10,346.7791021492058,345.1570185333333,345.96806034126956
11,344.67432294863346,345.9730671080143,345.32369502832387
12,344.6910065769353,344.1441010021736,344.41755378955446
13,345.0049797162648,346.3307047247044,345.6678422204846
14,346.1496797981841,344.41076814161227,345.2802239698982
15,346.48094765978124,346.7226448069565,346.6017962333689
16,345.3886940292996,344.39702048572224,344.8928572575109
17,349.11691207093287,347.0595145944501,348.08821333269145
18,343.7375491909001,345.0319294091531,344.3847393000266
19,344.6449905658691,346.0170230217963,345.33100679383267
20,346.0527729161511,345.5149413082186,345.7838571121849
21,344.2692559396765,344.9024451419993,344.5858505408379
22,345.860859,346.8147137621307,346.33778638106537
23,346.3608134284862,346.9901249599393,346.6754691942127
24,345.96941291666667,345.02468333102627,345.49704812384647
25,345.9409583458815,344.9545444950972,345.44775142048934
26,348.02829358743065,344.9578510060089,346.4930722967198
27,345.9023025118479,344.9374536489907,345.41987808041927
28,346.2462308591896,344.934798,345.5905144295948
29,346.74521539887496,344.9254736573304,345.83534452810267
30,345.02841680447426,347.0526157561296,346.040516280302
31,345.7624159447678,347.0509758437177,346.4066958942427
32,346.2512011597673,347.0766458596708,346.66392350971904
33,344.43364110025306,344.70701065181817,344.5703258760356
34,344.8285181207581,347.9506430918851,346.3895806063216
35,346.3045378101147,345.84214381635206,346.07334081323336
36,345.2371800436101,345.7593078576191,345.4982439506146
37,346.8261518554718,345.7593078576191,346.2927298565454
38,347.59036566148103,345.82919187903497,346.709778770258
39,337.3846567811892,347.59091741523804,342.48778709821363
40,347.99941,347.6000031899755,347.79970659498775
41,349.88672869177617,350.54941212369624,350.2180704077362
42,348.04847656782323,348.9138882222399,348.48118239503157
43,347.3386361412993,348.79655737163586,348.06759675646754
44,347.8472679095505,348.70953827736764,348.2784030934591
45,350.4756123505511,348.4867320082297,349.4811721793904
46,344.01756703652427,347.8377807714286,345.9276739039764
47,344.01756703652427,347.8377807714286,345.9276739039764
48,344.01756703652427,347.51125263157894,345.7644098340516
49,349.47536381119,347.54703333333333,348.51119857226166
50,349.63626582343653,348.9956478270201,349.31595682522834
51,349.7314467149716,349.04925026045794,349.39034848771473
52,356.3786266461971,350.31539996247227,353.3470133043347
53,352.9367154906505,349.21678335796605,351.0767494243083
54,351.3163205739592,348.28230213142,349.79931135268964
55,351.3163205739592,350.2088127609126,350.7625666674359
56,348.0504892607785,348.0776425342955,348.064065897537
57,350.6149983264602,348.4620271642919,349.538512745376
58,348.68783474346947,348.6190290475637,348.6534318955166
59,345.6218525092524,346.6393469600408,346.1305997346466
60,351.67599614231284,346.70133549271964,349.18866581751627
61,351.93408613948435,346.5059839116053,349.2200350255448
62,346.27392374826434,347.4580046413421,346.8659641948032
63,347.9260180453267,347.6169479587395,347.7714830020331
64,341.0750689343177,347.566153732541,344.3206113334294
65,346.1766485209935,347.6544807432513,346.9155646321224
66,346.8670326189208,347.9968530252117,347.4319428220663
67,347.0826146258007,348.0814438150695,347.5820292204351
68,347.0826146258007,347.5244651397828,347.30353988279177
69,348.5937143216232,347.63547125776785,348.1145927896955
70,348.5937143216232,347.6894710172257,348.1415926694244
71,348.5937143216232,348.553888518815,348.57380142021907
72,346.18093079103943,346.66216172022,346.4215462556297
73,346.20046708653285,348.73988766132555,347.47017737392923
74,345.9970072960125,347.3674499856561,346.6822286408343
75,347.17592887785463,346.02381285343506,346.59987086564485
76,345.4133471958525,346.0205366666667,345.7169419312596
77,348.544402417233,345.9824888388336,347.2634456280333
78,347.82510455300707,347.67725615283143,347.7511803529193
79,347.63990792600833,346.6903039661012,347.1651059460548
80,349.0603018126337,346.54613,347.80321590631684
81,348.0427351413733,346.60582098917024,347.32427806527176
82,348.24285065446804,346.56305008813234,347.4029503713002
83,347.6122105766019,347.58656327760724,347.59938692710455
84,348.9103045647039,347.8212946819249,348.3657996233144
85,348.80600567973295,347.861973931356,348.33398980554443
86,348.56284438719894,345.73263,347.1477371935995
87,347.1892868478275,346.8976138214921,347.0434503346598
88,349.44189854410183,345.85421316062275,347.6480558523623
89,347.5421430926724,347.9285825366489,347.7353628146607
90,351.55779084536096,347.9804928981973,349.76914187177914
91,347.53658514805164,346.02611022862993,346.7813476883408
92,347.53473264549456,346.032478,346.7836053227473
93,347.4269459180017,348.13758217202934,347.7822640450155
94,347.66310993644043,346.0286566666667,346.84588330155356
95,342.3451201254715,345.8743904763061,344.10975530088876
96,346.94609560564,345.2990808164737,346.12258821105684
97,354.6784676906556,345.78924110398737,350.23385439732147
98,345.8360782796383,347.3665916732889,346.6013349764636
99,347.25062640715225,346.1427321336826,346.69667927041746
100,347.78308258945293,348.3636443549023,348.0733634721776
101,347.9048858637234,346.2342855617314,347.0695857127274
102,349.06050477719964,348.278135840214,348.6693203087068
103,346.8871086948638,346.2912114776157,346.58916008623976
104,350.81354829936,348.44750443755083,349.63052636845543
105,346.64664567181023,347.281473030225,346.9640593510176
106,347.8360282435523,348.3626981536075,348.0993631985799
107,346.6880518412636,348.4945398383158,347.5912958397897
108,348.5223301348546,348.52090269700085,348.5216164159277
